PWMFlankingScore,Label
-17785.102891096754,1
0.0,1
0.0,1
0.0,1
-16723.854272424793,1
-16664.53675840311,1
-16543.369706751626,1
-14999.590938426329,1
-15287.483671884504,1
-15307.518889395102,1
-16246.529427751071,1
-16413.352195083924,1
-15084.19963883552,1
-17515.071967664873,1
-17045.090933720854,1
-15179.271140582268,1
-15068.543618363947,1
-15894.147566919173,1
-15670.672943541662,1
-17640.853735423414,1
-14569.283773681886,1
-14607.025963265572,1
-14739.450732657358,1
-14772.918579926196,1
-18599.755362881522,1
-16592.200608191484,0
-17845.05398744819,0
-17118.00954207829,0
-17524.78018086449,0
-16920.428183713237,1
-17062.214130371634,1
-15617.04335853625,0
-17620.022829358415,1
-17150.23777602208,0
-17848.049292810094,0
-14941.620508290021,0
-16089.946748147608,0
-18588.051663127782,1
-15454.72864447109,0
-18162.626946216657,0
-17891.89033983381,0
-14319.260919926775,0
-17307.365988902005,0
-16480.142551483343,0
-16469.835611154096,0
-16917.597294541618,0
-16448.76146223147,1
-16199.925944985818,0
-16935.269458142484,0
-17060.41472992561,0
-17104.507797148457,0
-15756.00050743264,0
-15764.462386829397,0
-15907.494412195823,1
-17415.674287704718,1
-18164.225522607972,0
-17335.53682622942,0
-17459.619327694163,0
-17110.791247117704,0
-15085.777244916508,0
-15516.018099348308,0
-15994.818174165306,1
-16826.042029911758,0
-16274.80066430538,0
-20146.763123604935,1
-15311.536772956091,0
-17138.61165112032,0
-14967.272450901553,0
-16615.106253462727,1
-17466.626419966535,0
-16410.991969940038,1
-17976.49252927915,0
-16727.221741537207,0
-16132.36457202347,0
-15785.971606219697,0
-17781.289969995967,0
-17869.475423258908,0
-16498.573910695035,0
-16937.447075997618,0
-17083.770860158387,0
-16283.203211442868,1
-15300.540913051202,1
-15872.607372012026,0
-17948.608623845244,0
-16868.295158577603,0
-17201.81629170412,0
-17841.72650537558,0
-17392.000053946133,0
-16189.494054401985,0
-17422.508532763266,0
-16922.6583874098,1
-16188.34889316288,0
-16686.923185218846,0
-17280.10593223071,0
-17048.938755955194,1
-16314.119802764148,0
-16086.652582093337,1
-15881.432960113516,0
-16098.003386444678,1
-16334.921553742151,0
-16519.98848383518,0
-16983.495234339145,0
-16753.166455770257,1
-15218.152801048285,0
-15759.453114102897,0
-17432.244066421186,0
-15262.170591548896,0
-16791.236855298645,0
-17579.044547443984,0
-15773.305296703273,0
-17056.68926178065,0
-18008.237931449203,0
-16428.04683463319,0
-16945.137939751075,0
-15312.535189338892,0
-18433.802304080513,0
-14426.278787367559,0
-17967.663757744707,0
-14383.980529994704,1
-16963.12543678645,1
-14682.994652840922,0
-16048.216514349266,0
-16667.276548525486,0
-17458.669945061338,0
-18652.405875176035,1
-17549.270611458232,1
-16905.115886911415,0
-17081.95265153763,0
-15317.128887928107,0
-15000.785003208443,0
-15572.564165140415,0
-15946.588586072014,1
-15364.225703806256,0
-16744.80355890447,0
-16259.837972491383,0
-15330.603439993887,1
-16792.534849216736,0
-15983.193126990805,0
-16759.12659060822,0
-16724.79899566997,0
-15690.549938873406,0
-17177.13783693197,0
-15276.220407951465,0
-15696.020013322486,1
-14096.162105345367,0
-15071.281474313579,0
-14299.71081676825,0
-17250.034330408685,0
-15233.698201859474,1
-16315.750123183494,0
-15826.883206905813,1
-17162.81654700738,0
-15899.948612695849,0
-16426.22948060558,0
-16751.733927237023,0
-15478.783538571404,0
-16633.849222867935,0
-15330.032878405136,0
-18002.292736133266,0
-15227.690425061028,0
-15407.026785295775,0
-15500.716538494424,0
-15234.791308760072,0
-15341.668834868042,0
-17084.177030968687,0
-16711.4173199465,0
-16885.041720999947,0
-16627.090615440084,1
-16760.68105524797,0
-17683.788662093757,0
-18249.287452987715,0
-17491.205244236968,0
-15845.732547665248,0
-16678.092617763545,0
-16275.293339412232,0
-16128.545601339723,0
-17929.796428725007,0
-15368.012970431686,1
-15361.290644167395,1
-15910.473688879658,0
-14653.582224839505,0
-18337.545683100907,0
-17638.5967892194,0
-15285.352171826424,1
-16652.332496906813,0
-14358.82568998617,0
-14846.242449186459,0
-15105.819133771001,1
-16886.742950277363,1
-15664.75421169241,0
-16633.449768300226,1
-17095.667362457585,1
-16837.653775909686,0
-17646.56269816335,0
-15206.8567813748,0
-15406.953508643246,0
-15653.810613751713,0
-16118.534872180919,0
-17360.946617955662,0
-14499.257656669271,0
-14322.79363090038,0
-15270.556099483505,0
-15534.96647518113,0
-15435.024814364424,0
-17682.321879573185,1
-17456.323417738535,0
-17048.324285291463,0
-16982.275574607127,0
-16237.657635029022,0
-17309.6902304703,0
-15849.830215333546,0
-17350.816026352924,0
-17228.460385429717,0
-16806.893059494178,0
-15331.171300203536,1
-16649.793224307436,0
-16292.285335234432,0
-14339.612995938662,0
-15429.382566298227,0
-18864.488525216893,0
-22324.293918753872,0
-15600.313485099248,1
-16322.663456968023,0
-17044.83440106104,0
-15009.102935725236,0
-16193.828871688174,0
-16240.833527516135,0
-18186.483906881964,0
-16340.831011474816,0
-13871.002492108797,0
-15020.974180274381,0
-16146.422083646934,0
-15777.00486732945,0
-15314.067048272447,0
-17629.859024221674,1
-13888.038698718785,1
-14803.356123417509,0
-14404.352761359303,0
-15765.312746817857,0
-16603.992915605304,0
-18050.748588426744,0
-15204.544313071545,0
-15045.40668354405,0
-13622.307936918185,0
-15613.899353182283,1
-14706.917935745814,0
-15200.446272640038,0
-17062.79462787102,1
-17591.3203474647,0
-16713.90326439354,0
-15295.1748003943,0
-15548.568934380244,1
-17256.130850083995,0
-15020.08968157728,0
-15427.123863939089,0
-15802.735243144045,0
-15273.844044419115,0
-15652.766663104403,0
-15723.103803350019,0
-14912.861274584,0
-13579.011828198394,0
-13818.737753579106,0
-14116.96671106552,0
-17140.22140912429,0
-16548.535286006558,1
-18507.9211643032,0
-16563.454935365764,0
-17373.187285882494,0
-15260.574508576396,0
-15697.507012884018,0
-16709.553699554523,0
-17760.547181855785,0
-16865.26291370904,0
-16226.181684507143,1
-16893.962749144208,0
-15594.671379988904,0
-16521.696641191214,0
-16451.26269000958,0
-16871.958045199834,0
-16551.87503202589,0
-15217.824182519133,0
-16651.82809557155,0
-17389.844173645506,0
-17965.356034253426,0
-17142.38435721724,0
-14836.949038969191,0
-17194.465573655714,0
-16307.92796287615,0
-16964.584207433876,0
-14037.295963398827,0
-15532.3046087868,0
-15861.082749694498,0
-17602.86157764467,0
-15455.681635427256,1
-15332.10981076465,0
-15170.024469995276,0
-16833.154283966476,0
-17347.35458886062,0
-17702.4994788623,0
-14688.269029006902,0
-16133.032212393415,0
-15248.420773811335,1
-15907.786890674253,0
-15843.698775293698,0
-16515.31397476043,0
-16434.911947653272,0
-16545.798502704187,0
-15678.941510564051,0
-15507.33467727913,0
-15765.009850153807,0
-15027.784558207473,0
-14079.190541620768,0
-16938.615028099943,0
-17010.765763935382,0
-15547.898887211322,0
-15420.368429858387,0
-15175.058176169894,1
-17455.768366596898,0
-19420.654880453734,0
-19267.937715321084,0
-18572.017575260557,0
-17524.78018086449,0
-17203.152558824244,0
-17542.338783274234,0
-16656.521416032585,0
-17082.522432622172,0
-17400.56104664074,0
-18489.042710480415,0
-19488.231846662427,0
-16827.90551567573,0
-14941.620508290021,1
-16090.134277469064,0
-17035.63485660076,0
-15645.818876509036,1
-14319.260919926775,0
-16480.142551483343,0
-15642.420710682143,0
-16432.444959174452,0
-17060.41472992561,0
-15983.730061650771,0
-15804.47418442034,0
-15756.00050743264,0
-15764.462386829397,0
-15965.955467060061,0
-15536.942225587678,0
-15085.777244916508,0
-16826.042029911758,0
-19854.15791959153,0
-19242.424715287394,0
-15030.373394261285,0
-15223.885326847969,0
-16974.49326785032,1
-18043.39274115723,0
